Column1,name,dist,year,jewish_pop,total_pop,name_heb,dist_heb
1242,Zbaraż,Nפת זבאראז',1880,3768,8062,זבאראז',נפת זבאראז'
1557,Sokal,,1898,3272,8007,סוקאל,נפת סוקאל
205,Zduńska Wola,Sieradz,1865,2532,7979,זדונסקה וולה,נפת שייראדז
1339,Tyśmienica,,1900,2049,7918,טישמייניצה,נפת טלומאץ'
1262,Żółkiew,Zolkiew district,1921,3718,7867,ז'ולקייב,נפת ז'ולקייב
1168,Delatyn,Nadvirna,1910,2997,7852,דלאטין,נפת נאדבורנה
484,Konin,,1897,2482,7823,קונין,נפת קונין
646,Biała,Powiat Biała,1921,1343,7746,ביאלה,נפת ביאלה
787,Chrzanów,Chrzanów,1890,3519,7713,חְטָאנוּב,נפת חשאנוב
1338,Tyśmienica,,1890,2492,7654,טישמייניצה,נפת טלומאץ'
1642,Brzeziny,,1897,3917,7647,בז'ז'יני,נפת בז'ז'יני
643,Biała,Powiat Biała,1890,1088,7622,ביאלה,נפת ביאלה
755,Zakopane,Nowy Targ,1910,361,7600,זאקופאנֶה,נובי טארג
1154,Dolina,,1880,2450,7596,דולינה,נפת דולינה
1342,Tyśmienica,,1931,1185,7527,טישמייניצה,נפת טלומאץ'
1496,Nadwórna,Nafta Nadwórna,1900,3644,7525,נאדבורנה,נפת נאדבורנה
1033,Buczacz,Powiat Buczacz,1921,3858,7517,בוצ'אץ,נפת בוצ'אץ
1022,Busk,Kamionka,1910,2545,7502,ביסק,קאמיונקה
537,Rawa Mazowiecka,,1921,3018,7499,ראווה מאזובייצקה,נפת ראווה מאזובייצקה
724,Wadowice,Wadowice,1910,1322,7471,וַאדוֹבִיצֶה,נפת ואדוביצה
1355,Trembowla,,1890,2033,7335,טרמבובלה,נפת טרמבובלה
1230,Założce,Zborów,1900,2397,7315,זאלוז'צה,נפת זבורוב
1231,Założce,Zborów,1910,1977,7275,זאלוז'צה,נפת זבורוב
642,Biała,Powiat Biała,1880,754,7251,ביאלה,נפת ביאלה
738,Wieliczka,Kraków,1921,1135,7235,וֶיילִיצְקָה,נפת קראקוב
1495,Nadwórna,Nafta Nadwórna,1890,3618,7227,נאדבורנה,נפת נאדבורנה
29,Opoczno,Opoczno,1921,3376,7224,אופוצ'נו,נפת אופוצ'נו
184,Wieluń,Wieluń,1897,2732,7198,ויילון,נפת ויילון
1259,Żółkiew,Zolkiew district,1890,3783,7143,ז'ולקייב,נפת ז'ולקייב
215,Żychlin,Powiat Kutno,1921,2701,7098,ז'יחלין,נפת קוטנו
737,Wieliczka,Kraków,1910,1140,7092,וֶיילִיצְקָה,נפת קראקוב
1341,Tyśmienica,,1921,1090,7027,טישמייניצה,נפת טלומאץ'
786,Chrzanów,Chrzanów,1880,4410,7023,חְטָאנוּב,נפת חשאנוב
1358,Trembowla,,1921,1486,7015,טרמבובלה,נפת טרמבובלה
1024,Busk,Kamionka,1931,1600,7010,ביסק,קאמיונקה
1337,Tyśmienica,,1880,2529,6953,טישמייניצה,נפת טלומאץ'
1229,Założce,Zborów,1890,2412,6928,זאלוז'צה,נפת זבורוב
725,Wadowice,Wadowice,1921,1437,6862,וַאדוֹבִיצֶה,נפת ואדוביצה
552,Sieradz,,1897,2357,6826,שייראדז,נפת שייראדז
1217,Żabie,Kosów,1890,654,6816,ז'אביה,נפת קוסוב
1258,Żółkiew,Zolkiew district,1880,3757,6794,ז'ולקייב,נפת ז'ולקייב
1556,Sokal,,1880,2408,6725,סוקאל,נפת סוקאל
442,Kalisz,,1808,2535,6712,קאליש,נפת קאליש
268,Łowicz,Powiat Łowicz,1837,676,6693,לוביץ',נפת לוביץ'
1021,Busk,Kamionka,1900,2340,6671,ביסק,קאמיונקה
1153,Dolina,,1870,1980,6638,דולינה,נפת דולינה
831,Jaworzno,Hшаnuв,1890,684,6637,יָאבוֹזְ'נוֹ,נפת חשאנוב
668,Gorlice,Gorlice,1910,3495,6600,גורליצה,גורליצה
