Location,dist,region,country,North,East,Alternative Name,county1900
Chynawa (Chynava), Beroun, Stredocesky, Czech Republic,500139,140427,Chynava,Austrian Empire
Cista (Cista u Horek), Semily, Liberecky, Czech Republic,503154,153627,Cista u Horek,Austrian Empire
Ckyn (Ckyne), Prachatice, Jihocesky, Czech Republic,490654,134945,Ckyne,Austrian Empire
Cwrtschowitz (Cvrcovice), Kladno, Stredocesky, Czech Republic,501048,140918,Cvrcovice,Austrian Empire
Czalositz (Zalhostice), Litomerice, Ustecky, Czech Republic,503123,140529,Žalhostice,Austrian Empire
Czech (Cechy pod Kosirem), Prostejov, Olomoucky, Czech Republic,493304,170216,Cechy pod Kosirem,Austrian Empire
Czechowitz (Cechovice), Prostejov, Olomoucky, Czech Republic,492751,170434,Cechovice,Austrian Empire
Czechowitz (Cehovice), Prostejov, Olomoucky, Czech Republic,492557,171030,Cehovice,Austrian Empire
Czekin (Cekyne), Prerov, Olomoucky, Czech Republic,492936,172536,Cekyne,Austrian Empire
Czelechowitz (Celechovice na Hane), Prostejov, Olomoucky, Czech Republic,493059,170538,Celechovice na Hane,Austrian Empire
Czeltschitz (Celcice), Prostejov, Olomoucky, Czech Republic,492444,171137,Celcice,Austrian Empire
Czernotin (Cernotin), Prerov, Olomoucky, Czech Republic,493155,174620,Cernotin,Austrian Empire
Czernowir (Cernovir), Olomouc, Olomoucky, Czech Republic,493646,171529,Cernovir,Austrian Empire
Dalimeritz (Dalimerice), Semily, Liberecky, Czech Republic,503540,150850,Dalimerice,Austrian Empire
Dallwitz (Dalovice), Karlovy Vary, Karlovarsky, Czech Republic,501452,125345,Dalovice,Austrian Empire
Daskabat (Daskabat), Olomouc, Olomoucky, Czech Republic,493443,172650,Daskabát,Austrian Empire
Datschitz (Dacice), Jindrichuv Hradec, Jihocesky, Czech Republic,490454,152614,Dacice,Austrian Empire
Dauba (Duba), Ceska Lipa, Liberecky, Czech Republic,503225,143225,Dubá,Austrian Empire
Daubrawitz (Doubravice u Ceske Skalice), Nachod, Kralovehradecky, Czech Republic,502245,155950,Doubravice u Ceske Skalice,Austrian Empire
Daudleb (Doudleby nad Orlici), Rychov nad Kneznou, Kralovehradecky, Czech Republic,500627,161541,Doudleby nad Orlicí,Austrian Empire
Deschna (Destna), Jindrichuv Hradec, Jihocesky, Czech Republic,491555,145526,Deštná,Austrian Empire
