Location,dist,region,country,North,East,Alternative Name,county1900
Swiridy (Swerydy/Svyrydy), Shepetivka, Khmelnytskyi, Ukraine,495414,265236,x,Volhynian
Swischtschew (Swiszczow/Vyshneve), Dubno, Rivne, Ukraine,502724,252054,M-2,Volhynian
Swischtschew Kol. (Swiszczow Kol./Svyshchiv), Dubno, Rivne, Ukraine,503749,253214,N-1,Volhynian
Swisdal (Zwizdal/lost), Korosten, Zhytomyr, Ukraine,511027,291445,x,Volhynian
Swisdshe (Zwizdze/Zvizdivka), Rivne, Rivne, Ukraine,505334,261109,x,Volhynian
Switanok (Bludow/Svitanok), Rivne, Rivne, Ukraine,503730,264900,P-2,Volhynian
Switanok Kol. (Czestny Chrest Kol./Svitanok), Volodymyr-Volynskyi, Volyn, Ukraine,504449,242355,A-4,Volhynian
Switjas (Switaz/Svitiaz), Kovel, Volyn, Ukraine,512856,235143,x,Volhynian
Switka (-/lost), Kovel, Volyn, Ukraine,505750,242710,A-4,Volhynian
Switschew (Switschew/Sviichiv), Volodymyr-Volynskyi, Volyn, Ukraine,505229,243232,A-4,Volhynian
Swjatez (Swieciec/Sviatets), Khmelnytskyi, Khmelnytskyi, Ukraine,495038,261751,x,Volhynian
Swjatje (Swiacie/Sviattia), Rivne, Rivne, Ukraine,504350,261839,F-3,Volhynian
Swjatje (Swiate/Sviate), Rivne, Rivne, Ukraine,501830,260823,x,Volhynian
Swosy (Swoz/Zvozy), Lutsk, Volyn, Ukraine,505514,252246,D-2,Volhynian
Sybin (-/Zybyn), Korosten, Zhytomyr, Ukraine,504325,291145,x,Volhynian
Syngai (Synhaj/Synhai), Korosten, Zhytomyr, Ukraine,505826,284322,x,Volhynian
Synowo (Synowo/Synove), Kovel, Volyn, Ukraine,512900,244004,x,Volhynian
Syrkowschtschina (Serkowszina/Syrkivshchyna), Korosten, Zhytomyr, Ukraine,512057,283135,x,Volhynian
Syrnikowaja-Niwa (Serniki Kol./lost), Warash, Rivne, Ukraine,511933,261403,x,Volhynian
Syrniza (Rudnia-Syrnica/Syrnytsia), Korosten, Zhytomyr, Ukraine,512605,280926,x,Volhynian
Syrwatinzy (Serwatynce/Syrvatyntsi), Khmelnytskyi, Khmelnytskyi, Ukraine,490450,263027,x,Volhynian
Sytne (Lysa Gora/lost), Lutsk, Volyn, Ukraine,505952,253833,x,Volhynian
Sytschewka (Syczowka/Sychivka), Korosten, Zhytomyr, Ukraine,504510,285215,x,Volhynian
Szalawa/Ledochowka Kol. (Szalawa/Ledochowka Kol./lost), Dubno, Rivne, Ukraine,503626,253131,N-1,Volhynian
Szczytniki Kol. (Szczytniki Kol./lost), Kovel, Volyn, Ukraine,505505,244444,A-4,Volhynian
Sztunski Maj Kol. (Sztunski Maj Kol./lost), Kovel, Volyn, Ukraine,510900,240309,A-1,Volhynian
Szumsk (Szumsk/lost), Zhytomyr, Zhytomyr, Ukraine,501145,283335,U-3,Volhynian
Szury Kol. (Szury Kol./lost), Kovel, Volyn, Ukraine,510030,241520,A-3,Volhynian
Szymonisko Kol. (Szymonisko Kol./lost), Warash, Rivne, Ukraine,511337,260336,E-2,Volhynian
Tabatschuki (Tabaczuki/Tabachuky), Dubno, Rivne, Ukraine,501147,252422,x,Volhynian
Taborischtsche (-/Taboryshche), Zhytomyr, Zhytomyr, Ukraine,503025,292745,x,Volhynian
Tabory (Tabory/Tabory), Novohrad-Volynskyi, Zhytomyr, Ukraine,501645,273527,x,Volhynian
Tadeuschpol (Tadeuszpol/Fadiivka), Shepetivka, Khmelnytskyi, Ukraine,495927,272609,x,Volhynian
Tagatschin Kol. (Tahaczyn Kol./Tahachyn), Kovel, Volyn, Ukraine,510414,243911,A-4,Volhynian
Tajki (Tajki/Taiky), Novohrad-Volynskyi, Zhytomyr, Ukraine,504830,273930,x,Volhynian
Tajkury (Tajkury/Taikury), Rivne, Rivne, Ukraine,503158,262216,P-1,Volhynian
Tajkury Kol. (Tajkury Kol./lost), Rivne, Rivne, Ukraine,503129,262119,P-1,Volhynian
Talezkaja Rudnja (Talecka Rudnia/Talkivka), Novohrad-Volynskyi, Zhytomyr, Ukraine,502930,274542,x,Volhynian
Talki (Talki/Talky), Novohrad-Volynskyi, Zhytomyr, Ukraine,502830,274700,x,Volhynian
Tarakanow (Tarakanow/Tarakaniv), Dubno, Rivne, Ukraine,502251,254233,x,Volhynian
Tarash Kol. (Taraz Kol./lost), Kamin-Kashyrskyi, Volyn, Ukraine,510326,254227,x,Volhynian
Tarash Kol. (Taraz Kol./lost), Kamin-Kashyrskyi, Volyn, Ukraine,510330,254250,E-3,Volhynian
Tarash Nowy (Taraz Nowy/Redkodoby/Pochaiv), Kremenets, Ternopil, Ukraine,495920,253128,x,Volhynian
Tarash Stary (Taraz Stary/Staryi Tarazh), Kremenets, Ternopil, Ukraine,495853,253430,x,Volhynian
Tarasowka (-/Tarasivka), Khmelnytskyi, Khmelnytskyi, Ukraine,491911,261833,x,Volhynian
Tarasowka (-/Tarasivka), Shepetivka, Khmelnytskyi, Ukraine,495311,265419,x,Volhynian
Tarasowka (Tarasowka/Tarasivka), Berdychiv, Zhytomyr, Ukraine,500300,290435,x,Volhynian
Tarasowka (Tarasowka/Tarasivka), Kamianets-Podilskyi, Khmelnytskyi, Ukraine,483611,264028,x,Volhynian
Tarasowka (Tarasowka/Tarasivka), Khmelnytskyi, Khmelnytskyi, Ukraine,490338,265800,x,Volhynian
Tarasowka Kol. (Chatki Kol./Tarasivka), Korosten, Zhytomyr, Ukraine,504410,285740,J-4,Volhynian
Tarasowka Kol. (Tarasowka Kol./lost), Kovel, Volyn, Ukraine,512128,243007,A-2,Volhynian
Tarasowo Kol. (Bogolubska ferma Kol./Tarasove), Lutsk, Volyn, Ukraine,504523,251542,D-3,Volhynian
Targonewa-Rudnja (Targoniowa-Rudnia/Sheremetiv), Zhytomyr, Zhytomyr, Ukraine,502045,280449,x,Volhynian
Tarnawka (Tarnawka/lost), Dubno, Rivne, Ukraine,501511,252823,x,Volhynian
Tarnobor (Tarnobor (Krolewski Most)/Ikva), Kremenets, Ternopil, Ukraine,500735,253905,x,Volhynian
Tarnoruda (Tarnoruda/Tarnoruda), Khmelnytskyi, Khmelnytskyi, Ukraine,492446,261357,x,Volhynian
Tarnowka (Tarnowka/lost), Lutsk, Volyn, Ukraine,503315,244917,M-1,Volhynian
Tarnowka Kol. (Tarnowka Kol./lost), Lutsk, Volyn, Ukraine,503316,244900,M-1,Volhynian
Tarnowola Kol. (Tarnowola Kol./lost), Lutsk, Volyn, Ukraine,505645,252010,D-2,Volhynian
Tarnowolja Kol. (Tarnowola/lost), Lutsk, Volyn, Ukraine,505654,251948,x,Volhynian
Tartak (Tartak/lost), Dubno, Rivne, Ukraine,501554,255029,x,Volhynian
Tartak (Tartak/lost), Zhytomyr, Zhytomyr, Ukraine,501501,281255,x,Volhynian
Tartak (Tartak/Tartak), Novohrad-Volynskyi, Zhytomyr, Ukraine,502250,275000,x,Volhynian
Tartaschek Kol. (Tartaczek Kol./lost), Zhytomyr, Zhytomyr, Ukraine,501737,281716,T-4,Volhynian
Taschki (Taszki/Tashky), Shepetivka, Khmelnytskyi, Ukraine,501504,265349,x,Volhynian
Tatarinowka (Tatarynowka/Ozerianka), Zhytomyr, Zhytomyr, Ukraine,500515,283557,x,Volhynian
Tatarinowka Malaja (Mala Tatarynowka/lost), Zhytomyr, Zhytomyr, Ukraine,495048,275821,x,Volhynian
Tatarinowka Malaja (Tatarynowka-Ml./Malosilka), Berdychiv, Zhytomyr, Ukraine,495830,282514,x,Volhynian
Tatarinzy (Tatarzynce/Tataryntsi), Kremenets, Ternopil, Ukraine,495548,260235,x,Volhynian
Tatarnowitschi (Tatarnowicze/Berestovets), Korosten, Zhytomyr, Ukraine,510117,285232,x,Volhynian
Tatarschtschina (Tatarszczyzna/Veselynivka), Shepetivka, Khmelnytskyi, Ukraine,503512,270650,x,Volhynian
Tatarskaja uliza (Tatarska-Ulica/Ostroh), Rivne, Rivne, Ukraine,502008,263134,x,Volhynian
Taubowka Kol. (Taubowka Kol./lost), Zhytomyr, Zhytomyr, Ukraine,501513,291347,J-4,Volhynian
Tchorin (Tchoryn/Tkhoryn), Korosten, Zhytomyr, Ukraine,512357,281936,x,Volhynian
Teklewka (Teklowka/Teklivka), Kamianets-Podilskyi, Khmelnytskyi, Ukraine,484402,262726,x,Volhynian
Teklino (Teklin/Teklyne), Kamin-Kashyrskyi, Volyn, Ukraine,513740,244756,x,Volhynian
Teklja (Tekla/Teklia), Kovel, Volyn, Ukraine,513156,242830,x,Volhynian
Tekljanowka (Draniczka Teklanowka/Teklianivka), Zhytomyr, Zhytomyr, Ukraine,503410,290205,x,Volhynian
Tekljuwka (Teklowka/Weliki Tseptsevichi), Warash, Rivne, Ukraine,512415,262531,x,Volhynian
Teklowka (-/Teklivka), Korosten, Zhytomyr, Ukraine,512641,283149,x,Volhynian
Teklowka Kol. (Teklowka Kol./lost), Lutsk, Volyn, Ukraine,503120,245100,M-1,Volhynian
Teleshinzy (Telezynce/Telizhyntsi), Khmelnytskyi, Khmelnytskyi, Ukraine,493542,273206,x,Volhynian
Teleshinzy (Telezynce/Telizhyntsi), Shepetivka, Khmelnytskyi, Ukraine,500016,264500,x,Volhynian
Teltschi (Telcze/Telchi), Kamin-Kashyrskyi, Volyn, Ukraine,510903,255507,x,Volhynian
Temnogajzy (Temnohajce/Temnohaitsi), Kremenets, Ternopil, Ukraine,500001,255829,x,Volhynian
Temnoje (Ciemne Stepanskie/lost), Sarny, Rivne, Ukraine,510921,260449,x,Volhynian
Teodorowka (Teodorowka/Fedorivka), Sarny, Rivne, Ukraine,511602,265322,F-2,Volhynian
Teofipol (Teofipol/Teofipol), Khmelnytskyi, Khmelnytskyi, Ukraine,495030,262530,N-4S,Volhynian
Tepeniza (Tepenica/Tepenytsia), Korosten, Zhytomyr, Ukraine,511417,274247,x,Volhynian
Teperowka (Teperowka/Teperivka), Khmelnytskyi, Khmelnytskyi, Ukraine,491807,272517,x,Volhynian
Terebish (Terebiz/lost), Shepetivka, Khmelnytskyi, Ukraine,500258,261942,x,Volhynian
Terebowitschi (Terebowicze/Terebovychi), Kovel, Volyn, Ukraine,514947,243235,x,Volhynian
Terechi Kol. (Terechy Kol./Terekhy), Kovel, Volyn, Ukraine,510705,235322,A-1W,Volhynian
Terechowo (-/Terekhove), Berdychiv, Zhytomyr, Ukraine,494849,283451,x,Volhynian
Teremenskaja Kol. (Teremno Kol./Strumivka), Lutsk, Volyn, Ukraine,504450,252554,D-4,Volhynian
Teremkowzy (Teremkowce/Teremkivtsi), Kamianets-Podilskyi, Khmelnytskyi, Ukraine,490231,262036,x,Volhynian
Teremno (Teremno/Lutsk-Teremno), Lutsk, Volyn, Ukraine,504502,252049,x,Volhynian
Teremno Kol. (Teremno Kol./lost), Lutsk, Volyn, Ukraine,504445,252557,D-4,Volhynian
Teremno Kol. (Teremno Kol./Lutsk-Teremno), Lutsk, Volyn, Ukraine,504513,252315,x,Volhynian
Teremno Kol. (Teremno/Lypyny), Lutsk, Volyn, Ukraine,504549,252444,D-4,Volhynian
Teremnoje (Teremme/Teremne), Rivne, Rivne, Ukraine,501323,261400,x,Volhynian
Terentjew (Terentyow/Terentiiv), Rivne, Rivne, Ukraine,503618,264309,P-2,Volhynian
Terenzy (Terincy/Terentsi), Zhytomyr, Zhytomyr, Ukraine,503800,282233,x,Volhynian
Terepol Kol. (Terepol/lost), Rivne, Rivne, Ukraine,504150,261639,x,Volhynian
Tereschewzy (Tereszowce/Tereshivtsi), Khmelnytskyi, Khmelnytskyi, Ukraine,492900,271321,x,Volhynian
Tereschki (Tereszki/Tereshky), Khmelnytskyi, Khmelnytskyi, Ukraine,494606,264558,x,Volhynian
Tereschkowitz Kol. (Tereszkowce Kol./Tereshkivtsi), Lutsk, Volyn, Ukraine,503241,245131,M-1,Volhynian
Tereschow Kol. (Tereszow Kol./Tereshiv), Dubno, Rivne, Ukraine,503727,254135,N-1,Volhynian
Teresin Kol. (Teresin Kol./lost), Volodymyr-Volynskyi, Volyn, Ukraine,505100,242825,A-4,Volhynian
Terespol Kol. (Terepol Kol./lost), Rivne, Rivne, Ukraine,504145,261655,P-1,Volhynian
Terlowka (Tarlowka/Terlivka), Khmelnytskyi, Khmelnytskyi, Ukraine,492120,273414,x,Volhynian
Ternawka (Teklowka/Ternavka), Kamianets-Podilskyi, Khmelnytskyi, Ukraine,484444,264938,x,Volhynian
Ternawka (Ternawka/Ternavka), Shepetivka, Khmelnytskyi, Ukraine,495554,264507,x,Volhynian
Ternki (Ternki/Tertki), Lutsk, Volyn, Ukraine,504030,250237,x,Volhynian
Ternowaja (Tarnawa Polna/Ternova), Kamianets-Podilskyi, Khmelnytskyi, Ukraine,490044,264619,x,Volhynian
Teslugow (Tesluhow/Tesluhiv), Dubno, Rivne, Ukraine,501825,251840,M-4,Volhynian
Tesnowka (Tesnowka/lost), Novohrad-Volynskyi, Zhytomyr, Ukraine,510042,275838,x,Volhynian
Tesnowka (Tesnowka/Tesnivka), Korosten, Zhytomyr, Ukraine,510129,282040,x,Volhynian
Tesnowka (Tesnowka/Tesnivka), Novohrad-Volynskyi, Zhytomyr, Ukraine,503600,275600,R-1,Volhynian
Tesnowka (Tesnowka/Tesnivka), Zhytomyr, Zhytomyr, Ukraine,502250,290130,x,Volhynian
Tesow (Tessow/Tesiv), Rivne, Rivne, Ukraine,503027,263826,P-2,Volhynian
Teterka (Teterka/Tetirka), Zhytomyr, Zhytomyr, Ukraine,502806,275916,x,Volhynian
Tetylkowzy (Tetylkowce/Tetylkivtsi), Kremenets, Ternopil, Ukraine,500253,255219,x,Volhynian
Tewelewka (Tewelowka/Teveliivka), Zhytomyr, Zhytomyr, Ukraine,500806,280038,x,Volhynian
Theophil (3 km from Jozefin/lost), Lutsk, Volyn, Ukraine,505355,253834,E-3,Volhynian
Tichomel (Tychoml/Tykhomel), Shepetivka, Khmelnytskyi, Ukraine,495748,261519,x,Volhynian
Tichotin (Tychotyn/Tykhotyn), Lutsk, Volyn, Ukraine,505838,250349,C-2,Volhynian
Tichowish (Tychowyz/Tykhovyzh), Warash, Rivne, Ukraine,514000,254800,x,Volhynian
Timkow (Tymkowo/Tymkiv), Kamianets-Podilskyi, Khmelnytskyi, Ukraine,484724,270515,x,Volhynian
Tiranowka (Tyranlwka/Tyranivka), Khmelnytskyi, Khmelnytskyi, Ukraine,493000,270530,x,Volhynian
Tiranowka (Tyranowka/Prysluch), Shepetivka, Khmelnytskyi, Ukraine,500408,273836,x,Volhynian
Tischkowitschi (Tyszkiewicze/Tyshkovychi), Volodymyr-Volynskyi, Volyn, Ukraine,504310,241150,x,Volhynian
Tischow (-/Tyshiv), Korosten, Zhytomyr, Ukraine,505130,290430,x,Volhynian
Titkow (Tytkow/Tytkiv), Shepetivka, Khmelnytskyi, Ukraine,500154,272200,x,Volhynian
Tjutjunniki (Tiutiunniki/Tiutiunnyky), Zhytomyr, Zhytomyr, Ukraine,500129,281412,x,Volhynian
Tjutkewitschi (Tiutkiewicze/Rivne-Pivnichnyi), Rivne, Rivne, Ukraine,503807,261520,x,Volhynian
Toboly (Toboly/Toboly), Kamin-Kashyrskyi, Volyn, Ukraine,513542,252049,W-2E,Volhynian
Tojkut (Tojkut/Toikut), Kovel, Volyn, Ukraine,512340,244917,x,Volhynian
Tokarew (Tokarow/Tokariv), Novohrad-Volynskyi, Zhytomyr, Ukraine,503130,271900,x,Volhynian
Tokarewka (Tokarowka/Mala Tokarivka), Zhytomyr, Zhytomyr, Ukraine,501235,273955,x,Volhynian
Tolkatschewskaja Kamenka (Tolkaczowska-Kamionka/Kamianivka), Korosten, Zhytomyr, Ukraine,512435,285518,x,Volhynian
Tolkatschi (-/Tovkachi), Korosten, Zhytomyr, Ukraine,512050,284950,x,Volhynian
Tolkatschi Kol. (Tolkacze Kol./lost), Rivne, Rivne, Ukraine,504121,265524,P-2,Volhynian
Tolpyshin (Tolpyzyn/Tovpyzhyn), Dubno, Rivne, Ukraine,502617,251135,x,Volhynian
Tolstoje Kol. (Tolstoje Kol./Tovste), Zhytomyr, Zhytomyr, Ukraine,502840,292405,V-1,Volhynian
Tomachow (Tolmachow/Tomakhiv), Rivne, Rivne, Ukraine,503400,263600,x,Volhynian
Tomaschew Kol. (Tomaszow Kol./Postiine), Rivne, Rivne, Ukraine,505430,260900,E-4,Volhynian
Tomaschewka Kol. (Tomaszowka Kol./Tomashivka), Zhytomyr, Zhytomyr, Ukraine,504000,284246,U-1,Volhynian
Tomaschewka Kol. (Tomaszowka/lost), Lutsk, Volyn, Ukraine,504529,253318,x,Volhynian
Tomaschgorod (Tomaszgrod/Tomashhorod), Sarny, Rivne, Ukraine,511812,270406,x,Volhynian
Tomaschowka (Tomaszowka/Tomashivka), Kamianets-Podilskyi, Khmelnytskyi, Ukraine,490257,264613,x,Volhynian
Tomaschowka Kol. (Tomaszowka Kol./lost), Lutsk, Volyn, Ukraine,504530,253325,E-3,Volhynian
Topilischtsche (Topieliszcze/Topylyshche), Volodymyr-Volynskyi, Volyn, Ukraine,503700,243612,x,Volhynian
Topilnja (Topilnia/Topilnia), Korosten, Zhytomyr, Ukraine,511137,280437,x,Volhynian
Toporischtsche (Toporyszcze/Toporyshche), Zhytomyr, Zhytomyr, Ukraine,503428,283800,U-1,Volhynian
Toporischtsche Kol. (Toporyszcze Kol./lost), Zhytomyr, Zhytomyr, Ukraine,503304,283758,U-1,Volhynian
Toportschiki (Toporczyki/Topirchyky), Shepetivka, Khmelnytskyi, Ukraine,500114,265225,x,Volhynian
Topory (-/Topory), Berdychiv, Zhytomyr, Ukraine,493908,291945,x,Volhynian
Topory (Topory/Topory), Shepetivka, Khmelnytskyi, Ukraine,500217,265132,x,Volhynian
Toptscha (Topcza/Topcha), Rivne, Rivne, Ukraine,504334,270309,x,Volhynian
Toptscha Kol. (Topcza Kol./lost), Rivne, Rivne, Ukraine,504406,270316,G-3,Volhynian
Topuljanskije Kol. (-/lost), Lutsk, Volyn, Ukraine,505858,251636,D-1,Volhynian
Topuljanskije-Wyselki Kol. (Helenowka Nowa/Olenivka), Lutsk, Volyn, Ukraine,505924,251645,x,Volhynian
Topulje (Topyle/Topillia), Dubno, Rivne, Ukraine,503600,252248,x,Volhynian
Topulno (Topolno/Topilne), Lutsk, Volyn, Ukraine,505620,251655,D-2,Volhynian
Torgowischtsche (Targowiszcze/Torhovyshche), Kovel, Volyn, Ukraine,511018,242343,x,Volhynian
Torgowiza (Targowica Kol./Torhovytsia), Dubno, Rivne, Ukraine,503321,252348,M-2,Volhynian
Tortschin (Torczyn/Torchyn), Lutsk, Volyn, Ukraine,504620,250000,C-4,Volhynian
Tortschin (Torczyn/Torchyn), Zhytomyr, Zhytomyr, Ukraine,503031,285729,x,Volhynian
Tortschin Kol. (Torczyn/Torchyn), Zhytomyr, Zhytomyr, Ukraine,503154,282826,S-2,Volhynian
Toshir (Tozyr/Borysivka), Novohrad-Volynskyi, Zhytomyr, Ukraine,503400,272100,Q-1,Volhynian
Totowitschi (Tutowicze/Tutovychi), Sarny, Rivne, Ukraine,512114,262147,F-1,Volhynian
Totschewiki (Toczewiki/Tochevyky), Rivne, Rivne, Ukraine,502038,262157,x,Volhynian
Towin/Jungplauen Kol. (Towin Kol./lost), Novohrad-Volynskyi, Zhytomyr, Ukraine,505345,273530,G-4,Volhynian
Towschtscha (Towszcza/Tovshcha), Zhytomyr, Zhytomyr, Ukraine,501524,280038,x,Volhynian
Traulin (Traulin/Traulyn), Shepetivka, Khmelnytskyi, Ukraine,500955,271302,Q-3,Volhynian
Trawnewoje (-/Travneve), Khmelnytskyi, Khmelnytskyi, Ukraine,494039,273400,x,Volhynian
Trebuchowzy (Trybuchowce/Trebukhivtsi), Khmelnytskyi, Khmelnytskyi, Ukraine,492547,272438,x,Volhynian
Tregubiza/Trubizy Kol. (Trubica Kol./Trubytsi), Rivne, Rivne, Ukraine,505544,261828,F-3,Volhynian
Tri Kopzy (Trikopce/Try Koptsi), Rivne, Rivne, Ukraine,504647,262521,F-3,Volhynian
Tri Kopzy (Trzy Kopce/lost), Kremenets, Ternopil, Ukraine,500625,255031,x,Volhynian
Tribuchowka (Trebuchowka/Trybukhivka), Kamianets-Podilskyi, Khmelnytskyi, Ukraine,484651,265538,x,Volhynian
Trigorje (Trigorje/Tryhiria), Zhytomyr, Zhytomyr, Ukraine,501145,282236,x,Volhynian
Trikopzy (Trykupce/Trykoptsi), Zhytomyr, Zhytomyr, Ukraine,501410,290425,x,Volhynian
Trilisiza (Trylisica/Trylistsi), Lutsk, Volyn, Ukraine,510044,250832,D-1,Volhynian
Triputnja Kol. (Tryputnia Kol./Tryputnia), Sarny, Rivne, Ukraine,513249,261924,F-1N,Volhynian
Triski (Tryski/Trisky), Khmelnytskyi, Khmelnytskyi, Ukraine,494852,264725,x,Volhynian
Triskini (Tryskinie/Triskyni), Sarny, Rivne, Ukraine,512318,262656,x,Volhynian
Tristak Kol. (Trystok Kol./lost), Volodymyr-Volynskyi, Volyn, Ukraine,505015,244500,C-3,Volhynian
Tristen (Trysten/Trysten), Lutsk, Volyn, Ukraine,505538,245605,C-1,Volhynian
Tritelniki (Tretelniki/Trytelnyky), Khmelnytskyi, Khmelnytskyi, Ukraine,492915,263210,x,Volhynian
Trojan (-/Troian), Rivne, Rivne, Ukraine,503000,262405,x,Volhynian
Trojanow (Trojanow/Troianiv), Zhytomyr, Zhytomyr, Ukraine,500648,283157,x,Volhynian
Trojanowka (Trojanowka/Troianivka), Kamin-Kashyrskyi, Volyn, Ukraine,512000,251715,x,Volhynian
Trojanowka (Trojanowka/Troianivka), Khmelnytskyi, Khmelnytskyi, Ukraine,494945,262922,x,Volhynian
Trojeschtschina (Labun/Trojeshchyna), Shepetivka, Khmelnytskyi, Ukraine,500038,272215,x,Volhynian
Trokowitschi (Trokowicze/Trokovychi), Zhytomyr, Zhytomyr, Ukraine,502313,284325,x,Volhynian
Troschtscha (Troszcza/Troshcha), Zhytomyr, Zhytomyr, Ukraine,495428,280538,x,Volhynian
Trostjanez (Troscianiec/Trostianets), Dubno, Rivne, Ukraine,502026,255311,x,Volhynian
Trostjanez (Troscianiec/Trostianets), Khmelnytskyi, Khmelnytskyi, Ukraine,491605,263807,x,Volhynian
Trostjanez (Troscianiec/Trostianets), Lutsk, Volyn, Ukraine,505733,253425,E-3,Volhynian
Trostjanez (Trosteniec/Trostianets), Rivne, Rivne, Ukraine,510158,261546,x,Volhynian
Trostjanez (Trostyniec/Trostianets), Shepetivka, Khmelnytskyi, Ukraine,503346,270605,x,Volhynian
Trostjanez Kol. (Trosteniec/lost), Rivne, Rivne, Ukraine,504601,262511,F-3,Volhynian
Trostjaniza (Troscianica/Trostianytsia), Korosten, Zhytomyr, Ukraine,504645,285635,x,Volhynian
Trostjanka (Troscianka/Trostianka), Shepetivka, Khmelnytskyi, Ukraine,500226,262618,x,Volhynian
Trostjanka (Troscianka/Trostianka), Volodymyr-Volynskyi, Volyn, Ukraine,505229,241132,A-3,Volhynian
Trostjanka Kol. (Troscianka/Trostianka), Lutsk, Volyn, Ukraine,505119,251132,D-3,Volhynian
Trubki Kol. (Trubki Kol./Trubky), Volodymyr-Volynskyi, Volyn, Ukraine,503434,242950,L-2,Volhynian
Truble (Truble/lost), Kovel, Volyn, Ukraine,511507,242230,x,Volhynian
Trubnewka (-/Trubiivka), Berdychiv, Zhytomyr, Ukraine,494707,292318,x,Volhynian
Trudowoje (Indyki/Trudove), Khmelnytskyi, Khmelnytskyi, Ukraine,493700,263958,x,Volhynian
Trudy (Trudy Fw./Trudy), Sarny, Rivne, Ukraine,510951,261528,F-1,Volhynian
Truschkowskoje Budyschtsche (Truszkowskie-Budyszcze Kol./Trudove), Zhytomyr, Zhytomyr, Ukraine,501800,281338,T-4,Volhynian
Trusilowka (Truilowka/Trusylivka), Khmelnytskyi, Khmelnytskyi, Ukraine,495128,264259,x,Volhynian
Truskoty Kol. (Truskoty Kol./lost), Kovel, Volyn, Ukraine,511028,243722,A-2,Volhynian
Tschaban (Czabaj/Chaban), Korosten, Zhytomyr, Ukraine,511540,283120,x,Volhynian
Tschabanowka (Czubanowka/Chabanivka), Kamianets-Podilskyi, Khmelnytskyi, Ukraine,483955,270310,x,Volhynian
Tschabany (Czabany/Chabany), Khmelnytskyi, Khmelnytskyi, Ukraine,492505,263921,x,Volhynian
Tschabel (Czabel/Chabel), Sarny, Rivne, Ukraine,510939,265607,x,Volhynian
Tschagarowka (Czahrowka/Chaharivka), Kamianets-Podilskyi, Khmelnytskyi, Ukraine,485554,261538,x,Volhynian
Tschaitschinzy (Czajczynce/Chaichyntsi), Kremenets, Ternopil, Ukraine,495120,255225,x,Volhynian
Tschajkow (Czajkow/lost), Warash, Rivne, Ukraine,513526,261159,x,Volhynian
Tschajkowka (Czajkowka/Chaikivka), Zhytomyr, Zhytomyr, Ukraine,503207,290558,x,Volhynian
Tschankow (Czankow/Chankiv), Kamianets-Podilskyi, Khmelnytskyi, Ukraine,485304,264718,x,Volhynian
Tschapajewka (-/Chapajevka), Khmelnytskyi, Khmelnytskyi, Ukraine,494530,263921,x,Volhynian
Tschapajewka (-/Mykolaivka), Korosten, Zhytomyr, Ukraine,511113,280728,x,Volhynian
Tschaplja (Czapla/Chaplia), Khmelnytskyi, Khmelnytskyi, Ukraine,492812,273505,x,Volhynian
Tschartorijsk (Czartoryjsk/Vyshnivka), Novohrad-Volynskyi, Zhytomyr, Ukraine,502145,273309,x,Volhynian
Tschartorijsk (Czartorysk/Staryi Chortoryisk), Kamin-Kashyrskyi, Volyn, Ukraine,511343,255246,x,Volhynian
Tscharukow (Czarukow/Charukiv), Lutsk, Volyn, Ukraine,503644,250641,M-2,Volhynian
Tscheben Kol. (Czebenie Kol./lost), Lutsk, Volyn, Ukraine,505855,251840,D-2,Volhynian
Tschebeni (Czebenie/lost), Lutsk, Volyn, Ukraine,505812,251824,x,Volhynian
Tschechi (Czechy/Chekhy), Khmelnytskyi, Khmelnytskyi, Ukraine,493302,273914,x,Volhynian
Tschechowa (-/Chekhova), Berdychiv, Zhytomyr, Ukraine,494015,292400,x,Volhynian
Tschechowzy (Ozechowce/Chekhivtsi), Zhytomyr, Zhytomyr, Ukraine,502105,281500,x,Volhynian
Tschekno (Czekno/Chekno), Dubno, Rivne, Ukraine,503840,252250,x,Volhynian
Tschelnowa (Czelnowa/Chovnova), Zhytomyr, Zhytomyr, Ukraine,503734,281937,x,Volhynian
Tschemerin (Czemeryn/Chemeryn), Lutsk, Volyn, Ukraine,504228,254637,x,Volhynian
Tschemernoje (-/Chemerne), Sarny, Rivne, Ukraine,511932,262911,x,Volhynian
Tschemerowzy (Czemerowce/Chemerivtsi), Kamianets-Podilskyi, Khmelnytskyi, Ukraine,490041,262031,x,Volhynian
Tschepelewka (Czepielowka/Chepelivka), Khmelnytskyi, Khmelnytskyi, Ukraine,493902,265218,x,Volhynian
Tschepzy (Czepce Fw./Cheptsi), Shepetivka, Khmelnytskyi, Ukraine,500107,265540,x,Volhynian
Tscheremoschnaja Wolja (Czeremoszna Wola/Cheremoshna Volia), Kovel, Volyn, Ukraine,512230,241144,x,Volhynian
Tscheremoschnoje (Czeremoszno/Cheremoshne), Kovel, Volyn, Ukraine,511909,250209,x,Volhynian
Tscheremschanka (Czeremszanka/Cheremshanka), Kovel, Volyn, Ukraine,512614,243014,x,Volhynian
Tscheremucha (-/Cheremukha), Berdychiv, Zhytomyr, Ukraine,494025,290640,x,Volhynian
Tscherepaschnik Kol. (Czerepasznik Kol./lost), Rivne, Rivne, Ukraine,504500,262030,F-3,Volhynian
