line_id,code,jg_id,ejl_line,name,dist,prov,area,region,prov1900,prov1930,jg_dist,jg_dist1930,country1900,country1930
445,EKT_ALK_GRK,-1038898,1546,Gaivoron,Gaisin,Podolia,Pale,Odessa,Podolia,Ukraine SSR,Gaisin,Odessa,Russian Empire,Soviet Union
446,MGL_GRK_GRK,-501220,1555,Garbatka,Kozienice,Radom,Congress Poland,Kielce,Radom,Kielce,Kozenitsy,Kozienice,Russian Empire,Poland
447,GLC_CRC_GRLC,-2614231,1557,Gorzhdy,Telshi,Kovno,Pale,Kretinga,Kovno,,Tel'shi,Kretinga,Russian Empire,Soviet Union
448,EKT_BKH_GRLV,-2614233,1559,Godlevo,Mariampol,Suwalki,Congress Poland,Kaunas,Suwałki,,Mariampol',Kaunas,Russian Empire,Soviet Union
449,KIV_RDM_GRNS,-1774259,1560,Gartz,Pommern,Preussen,Prussia,Pomerania,Preußen,Preußen,Pommern,Pommern,Germany,Germany
450,MGL_RGC_GRDT,-501293,1561,Garwolin,Garwolin,Siedlce,Congress Poland,Lublin,Siedlce,Lublin,Garvolin,Garwolin,Russian Empire,Poland
451,VTB_GRD_GRDK,-1038895,1569,Gaisin,Gaisin,Podolia,Pale,Vinnitsa,Podolia,Ukraine SSR,Gaisin,Vinnitsa,Russian Empire,Soviet Union
452,POD_KMN_GRDK,-501400,1571,Danzig,Gdansk,Preussen,Prussia,Pomerania,Preußen,Gdańsk,Westpreußen,,,Poland
453,KIV_CHR_GRDS,-2908393,1572,Gdov,Gdov,Sankt-Peterburg,Mainland Russia,Leningrad,Sankt-Peterburg,Russian SSR,Gdov,Leningrad,Russian Empire,Soviet Union
454,MNS_RCH_GRVL,-501412,1573,Gdów,Wieliczka,Galicia,Galicia,Cracow,Galicia,Kraków,Wieliczka,Wieliczka,Austrian Empire,Poland
455,MGL_CHS_GRY,-501414,1574,Gdingen,Wejherowo,Preussen,Prussia,Pomerania,Preußen,Pomorze,Westpreußen,Morski,,Poland
456,LBL_KRS_GRZK,-2614335,1588,Gelvani,Vilnius,Vilna,Pale,Ukmerge,Vilna,,Vilnius,Ukmergė,,Soviet Union
457,VTB_DVN_GLZM,-1038918,1598,Genichesk,Melitopol,Taurida,Pale,Zaporozhe,Taurida,Ukraine SSR,Melitopol',Zaporozhe,Russian Empire,Soviet Union
458,KIV_KIV_GSTM,-1043535,1607,Germanovka,Kiev,Kiev,Pale,Kiev,Kiev,Ukraine SSR,Kiev,Kiev,Russian Empire,Soviet Union
459,WRS_GST_GSTY,-501466,1624,Gidle,Noworadomsk,Piotrkow,Congress Poland,Lodz,Piotrków,Łódż,Novoradomsk,Radomsko,Russian Empire,Poland
460,WRS_GRT_GSZC,-2614386,1626,Gedroitsy,Vilnius,Vilna,Pale,Ukmerge,Vilna,,Vilnius,Ukmergė,,Soviet Union
461,RDM_KNS_GWRC,-501494,1627,Gielniów,Opoczno,Radom,Congress Poland,Lodz,Radom,Kielce,Opoczno,Opoczno,,Poland
462,LMZ_OSTL_GVRV,-498918,1630,Gilgenburg,Ostroda,Preussen,Prussia,East Prussia,Preußen,Preußen,Ostpreußen,Ostpreußen,,Poland
463,PTR_PTR_GRZK,-2614469,1635,Girtakol,Rossieny,Kovno,Pale,Raseiniai,Kovno,,Rossieny,Raseiniai,Russian Empire,Soviet Union
2730,KLS_LNC_GRBW,-508027,1640,Klodzko,Schlesien,Prussia,,Lower Silesia,Preußen,Preußen,Schlesien,Niederschlesien,Germany,Poland
2722,GLC_STN_GRBW,-501777,1644,Gliwice,Schlesien,Prussia,,Upper Silesia,Preußen,Preußen,Schlesien,Oberschlesien,Germany,Poland
464,LBL_GRB_GRBW,-1039042,1646,Gliniany,Przemyslany,Galicia,Galicia,Tarnopol,Galicia,Tarnopol,Przemyślany,Przemyślany,,Soviet Union
465,PRU_PSN_GRBW,-1039024,1648,Glinki,Rovno,Volhynia,Pale,Volhynia,Volhynia,Wołyń,Rovno,Równe,Russian Empire,Soviet Union
466,PLT_KRM_GRDZ,-1039037,1650,Glińsko,Zolkiew,Galicia,Galicia,Lwow,Galicia,Lwów,Żółkiew,Żółkiew,,Soviet Union
2764,LMZ_SHC_GRV,-501806,1652,Glogow,Schlesien,Prussia,,Lower Silesia,Preußen,Preußen,Schlesien,Niederschlesien,Germany,Poland
467,RDM_KZN_GRNC,-501819,1653,Głogów,Rzeszow,Galicia,Galicia,Lwow,Galicia,Lwów,Rzeszów,Rzeszów,,Poland
468,POD_GSN_GRNV,-501834,1654,Głowaczów,Kozienice,Radom,Congress Poland,Kielce,Radom,Kielce,Kozenitsy,Kozienice,Russian Empire,Poland
469,KIV_VSL_GRBN,-501857,1655,Głowno,Brzeziny,Piotrkow,Congress Poland,Lodz,Piotrków,Łódż,Breziny,Brzeziny,Russian Empire,Poland
470,PRU_PMM_GRFN,-1040039,1656,Glukhov,Glukhov,Chernigov,Pale,Sumy,Chernigov,Ukraine SSR,Glukhov,Sumy,Russian Empire,Soviet Union
471,GLC_LWW_GRMB,-501903,1658,Głusk,Lublin,Lublin,Congress Poland,Lublin,Lublin,Lublin,Liubartov,Lublin,Russian Empire,Poland
472,MNS_SLT_GRSK,-1943079,1659,Glusk,Bobruisk,Minsk,Pale,Polesie,Minsk,Belarus SSR,Bobruisk,Polesie,Russian Empire,Soviet Union
473,KHR_TRS_GRGR,-501963,1661,Gniewoszów,Kozienice,Radom,Congress Poland,Kielce,Radom,Kielce,Kozenitsy,Kozienice,Russian Empire,Poland
474,KVN_KVN_GRNK,-501970,1662,Gnesen,Gniezno,Preussen,Prussia,Poznan,Preußen,Poznań,Posen,Gniezno,Germany,Poland
475,SWL_VLD_GRSH,-1039133,1663,Gnivan,Vinnitsa,Podolia,Pale,Vinnitsa,Podolia,Ukraine SSR,Vinnitsa,Vinnitsa,Russian Empire,Soviet Union
2753,VLH_ZSL_GRTS,-1777715,1672,Gorlitz,Schlesien,Prussia,,Lower Silesia,Preußen,Preußen,Schlesien,Niederschlesien,Germany,Germany
