line_id,jg_id,ejl_line,name,enc_name,jg_name,name1900,name1930,name1945
99,-1941267,403,Berezino,BEREZINO,Byerazino,Berezino,Berezino,Berezino
100,-1035445,404,Berezna,BEREZNA,Berezna,Berezna,Berezna,Berezna
101,-1035456,405,Berezno,BEREZNE,Berezne,Berezno,Bereźne,Berëzno
102,-1035449,406,Bereznegovatyi,BEREZNEGOVATOE,Bereznehuvate,Bereznegovatoe,Bereznegovatoe,Bereznegovatoye
103,-1035427,407,Berezhnitsa,BEREZNICA,Berezhnytsia,Berezhnitsa,Bereźnica,Berezhnitsa
104,-1035476,408,Berezovka,BEREZOVKA,Berezivka,Berezovka,Berezovka,Berezovka
2658,-1035358,414,Berehomet,BERHOMET PE SIRET,Berehomet,Berhomet am Sereth,Berhomete pe Siret,Beregomet
105,-1035528,415,Berislav,BERISLAV,Beryslav,Berislav,Berislav,Berislav
2751,-493771,423,Bierutow,BERNSTADT,Bierutow,Bernstadt,Bernstadt,Bernstadt
106,-1035538,426,Bershad,BERSHAD,Bershad,Bershad,Bershad,Bershad'
107,-1941328,431,Beshenkovichi,BESHENKOVICHI,Byeshankovichy,Beshenkovichi,Beshenkovichi,Beshenkovichi
108,-524473,432,Betsche,BETSCHE,Pszczew,Betsche,Betsche,Pszczew
109,-2613254,434,Betygola,BETYGALA,Betygala,Betygola,Betygala,Betygala
2712,-494136,439,Bobrek,BEUTHEN,Bobrek,Bobrek,Bobrek,Bobrek
110,-493288,446,Białaczów,BIALACHOW,Bialaczow,Białaczów,Białaczów,Białaczów
111,-493309,447,Biała Podlaska,BIALA PODLASKA,Biala Podlaska,Biała Podlaska,Biała Podlaska,Biała Podlaska
112,-493313,448,Biała Rawska,BIALA RAWSKA,Biala Rawska,Biała Rawska,Biała Rawska,Biała Rawska
113,-493419,449,Białobrzegi,BIALOBRZEGI,Bialobrzegi,Białobrzegi,Białobrzegi,Białobrzegi
114,,450,Bialogon,BIALOGON,Kolonia Izaaka,Kolonia Izaaka,Kolonia Izaaka,
115,-1035313,453,Bialykamień,BIALY KAMIEN,Bilyi Kamin,Bialykamień,Biały Kamień,Belyy Kamen'
116,-493500,454,Bielostok,BIALYSTOK,Bialystok,Belostok,Białystok,Białystok
117,-493535,462,Biecz,BIECZ,Biecz,Biecz,Biecz,Biecz
118,-493610,463,Bielawy,BIELAWY,Bielawy,Bielawy,Bielawy,Bielawy
119,-1941165,465,Bielitsy,BIELICA,Belitsa,Belitsa,Bielica,Belitsa
120,-1035229,467,Bielopole,BIELOPOLIE,Bilopillya,Belopol'ye,Belopol'ye,Belopol'ye
121,-493693,468,Bielsk,BIELSK,Bielsk,Bielsk,Bielsk,Bielsk
122,-493705,469,Biała,BIELSKO-BIALA,Bielsko Biala,Biała,Biała,Bielsko-Biała
123,-493830,472,Bieżuń,BIEZUN,Biezun,Bieżuń,Bieżuń,Bieżuń
124,-1036767,478,Bykovka,BIKOVKA,Bykivka,Bykovka,Bykovka,Bykovka
125,-1035628,480,Bilcze Złote,BILCZE ZLOTE,Bil'che Zolote,Bilcze Złote,Bilcze Złote,Bil'che-Zolotoye
126,-493851,481,Biłgoraj,BILGORAI,Bilgoraj,Biłgoraj,Biłgoraj,Biłgoraj
2698,,487,Bilovec,BILOVEC,Kolonia Izaaka,Kolonia Izaaka,Kolonia Izaaka,
127,-493876,491,Bircza,BIRCZA,Bircza,Bircza,Bircza,Bircza
128,-2613298,495,Birzhi,BIRZAI,Birzai,Birzhi,Biržai,Biržai
129,-493925,497,Bischofsburg,BISCHOFSBURG,Biskupiec,Bischofsburg,Bischofsburg,Biskupiec
130,-493923,499,Bischofswerder,BISCHOFSWERDER,Biskupiec,Bischofswerder,Bischofswerder,Biskupiec
131,-493910,501,Biskupice,BISKUPICE,Biskupice,Biskupice,Biskupice,Biskupice
132,-493961,515,Błaszki,BLASZKI,Blaszki,Błaszki,Błaszki,Błaszki
133,-493985,518,Blenduv,BLENDUV,,,,
134,-1035763,524,Bober,BOBER,Bober,Bober,Bober,Bober
135,-494126,526,Bobowa,BOBOWA,Bobowa,Bobowa,Bobowa,Bobowa
136,-1941394,527,Bobr,BOBR,Bobr,Bobr,Bobr,Bobr
