code,id,name,dist,prov,code_prov,code_dist
VLN_VLN_SSL,-2618994,Sesuoliai,Vilnius,Vilna,4,1
KVN_VL'_ST,-2618999,Seta,Vil'komir,Kovno,17,2
SWL_VLD_SDN,-2619010,Siaudine,Vladislavov,Suwalki,59,3
KVN_SHV_SLN,-2619022,Siaulenai,Shavli,Kovno,17,7
KVN_SHV_SL,-2619027,Siauliai,Shavli,Kovno,17,7
KVN_VL'_SSK,-2619057,Siesikai,Vil'komir,Kovno,17,2
KVN_RSS_SLL,-2619074,Silale,Rossieny,Kovno,17,5
PRU_OST_SLT,-2619111,Silute,Ostpreußen,Prussia,,
KVN_RSS_SLV,-2619114,Siluva,Rossieny,Kovno,17,5
KVN_RSS_SMKC,-2619124,Simkaiciai,Rossieny,Kovno,17,5
SWL_KLV_SMNS,-2619128,Simnas,Kal'variia,Suwalki,59,5
KVN_VL'_SMNY,-2619135,Simonys,Vil'komir,Kovno,17,2
VLN_VLN_SRVN,-2619161,Sirvintos,Vilnius,Vilna,4,1
KVN_SHV_SBC,-2619169,Siubaiciai,Shavli,Kovno,17,7
KVN_NVL_SKPS,-2619198,Skapiskis,Novoaleksandrovsk,Kovno,17,3
KVN_RSS_SKDV,-2619206,Skaudvile,Rossieny,Kovno,17,5
KVN_VL'_SKMN,-2619219,Skiemonys,Vil'komir,Kovno,17,2
KVN_RSS_SKRS,-2619232,Skirsnemune,Rossieny,Kovno,17,5
KVN_TLS_SKDS,-2619282,Skuodas,Tel'shi,Kovno,17,6
PRU_OST_SMLN,-2619341,Smalininkai,Ostpreußen,Prussia,,
KVN_PNV_SMLG,-2619362,Smilgiai,Poneviezh,Kovno,17,4
VLN_SVN_STJT,-2619463,Stajetiske,Sventsiany,Vilna,4,6
VLN_TRK_STKL,-2619467,Stakliskes,Troki,Vilna,4,7
KVN_VL'_SBCS,-2619597,Subacius,Vil'komir,Kovno,17,2
SWL_VLD_SDRG,-2619601,Sudargas,Vladislavov,Suwalki,59,3
KVN_NVL_SVNS,-2619680,Suvainiskis,Novoaleksandrovsk,Kovno,17,3
KVN_VL'_SVDS,-2619694,Svedasai,Vil'komir,Kovno,17,2
KVN_RSS_SVKS,-2619698,Sveksna,Rossieny,Kovno,17,5
VLN_SVN_SVNC,-2619703,Svencioneliai,Sventsiany,Vilna,4,6
VLN_SVN_SVNC2,-2619706,Svencionys,Sventsiany,Vilna,4,6
KVN_VL'_TJN,-2619811,Taujenai,Vil'komir,Kovno,17,2
KVN_RSS_TRG,-2619816,Taurage,Rossieny,Kovno,17,5
KVN_NVL_TRGN,-2619819,Tauragnai,Novoaleksandrovsk,Kovno,17,3
KVN_TLS_TLS,-2619849,Telsiai,Tel'shi,Kovno,17,6
KVN_TLS_TRKS,-2619878,Tirksliai,Tel'shi,Kovno,17,6
VLN_TRK_TRK,-2619904,Trakai,Troki,Vilna,4,7
KVN_VL'_TRPS,-2619930,Traupis,Vil'komir,Kovno,17,2
KVN_VL'_TRSK,-2619954,Troskunai,Vil'komir,Kovno,17,2
KVN_SHV_TRYS,-2619972,Tryskiai,Shavli,Kovno,17,7
KVN_TLS_TVR,-2620008,Tverai,Tel'shi,Kovno,17,6
KVN_RSS_TYTV,-2620027,Tytuvenai,Rossieny,Kovno,17,5
KVN_VL'_UKMR,-2620042,Ukmerge,Vil'komir,Kovno,17,2
KVN_RSS_UPYN,-2620071,Upyna,Rossieny,Kovno,17,5
KVN_VL'_UTN,-2620103,Utena,Vil'komir,Kovno,17,2
KVN_VL'_UZPL,-2620151,Uzpaliai,Vil'komir,Kovno,17,2
KVN_SHV_UZVN,-2620203,Uzventis,Shavli,Kovno,17,7
KVN_PNV_VBLN,-2620214,Vabalninkas,Poneviezh,Kovno,17,4
KVN_RSS_VNTS,-2620269,Vainutas,Rossieny,Kovno,17,5
VLN_TRK_VLKN,-2620337,Valkininkai,Troki,Vilna,4,7
KVN_KVN_VNDZ,-2620353,Vandziogala,Kovna,Kovno,17,1
VLN_TRK_VRN,-2620370,Varena,Troki,Vilna,4,7
KVN_TLS_VRN,-2620398,Varniai,Tel'shi,Kovno,17,6
KVN_PNV_VSK,-2620415,Vaskai,Poneviezh,Kovno,17,4
KVN_SHV_VGR,-2620435,Vegeriai,Shavli,Kovno,17,7
SWL_SNY_VSJ,-2620438,Veisiejai,Seiny,Suwalki,59,7
SWL_MRM_VVR,-2620440,Veiveriai,Mariampol',Suwalki,59,6
KVN_RSS_VVRZ,-2620442,Veivirzenai,Rossieny,Kovno,17,5
KVN_KVN_VLN,-2620454,Veliuona,Kovna,Kovno,17,1
KVN_VL'_VDSK,-2620548,Vidiskiai,Vil'komir,Kovno,17,2
KVN_RSS_VDKL,-2620552,Vidukle,Rossieny,Kovno,17,5
KVN_SHV_VKSN,-2620560,Vieksniai,Shavli,Kovno,17,7
KVN_VL'_VSNT,-2620573,Viesintos,Vil'komir,Kovno,17,2
VLN_TRK_VVS,-2620587,Vievis,Troki,Vilna,4,7
KVN_KVN_VLJM,-2620612,Vilijampole,Kovna,Kovno,17,1
SWL_VLK_VLKV,-2620625,Vilkaviskis,Volkovyshki,Suwalki,59,4
KVN_KVN_VLKJ,-2620634,Vilkija,Kovna,Kovno,17,1
VLN_VLN_VLNS,-2620663,Vilnius,Vilnius,Vilna,4,1
SWL_VLK_VRBL,-2620693,Virbalis,Volkovyshki,Suwalki,59,4
SWL_MRM_VSKR,-2620721,Visakio Ruda,Mariampol',Suwalki,59,6
SWL_VLK_VSTY,-2620738,Vistytis,Volkovyshki,Suwalki,59,4
KVN_VL'_VYZN,-2620819,Vyzuonos,Vil'komir,Kovno,17,2
KVN_TLS_YLK,-2620821,Ylakiai,Tel'shi,Kovno,17,6
KVN_SHV_ZGR,-2620841,Zagare,Shavli,Kovno,17,7
KVN_SHV_ZGR2,-2620841,Zagare,Shavli,Kovno,17,7
SWL_MRM_ZPYS,-2620890,Zapyskis,Mariampol',Suwalki,59,6
KVN_NVL_ZRS,-2620892,Zarasai,Novoaleksandrovsk,Kovno,17,3
KVN_TLS_ZRN,-2620899,Zarenai,Tel'shi,Kovno,17,6
VLN_TRK_ZSL,-2620911,Zasliai,Troki,Vilna,4,7
KVN_PNV_ZMLS,-2620933,Zeimelis,Poneviezh,Kovno,17,4
KVN_KVN_ZM,-2620938,Zeimiai,Kovna,Kovno,17,1
KVN_SHV_ZM,-2620941,Zeimiai,Shavli,Kovno,17,7
KVN_VL'_ZLV,-2620949,Zelva,Vil'komir,Kovno,17,2
KVN_TLS_ZMCK,-2620954,Zemaiciu Kalvarija,Tel'shi,Kovno,17,6
KVN_RSS_ZMCN,-2620955,Zemaiciu Naumiestis,Rossieny,Kovno,17,5
KVN_TLS_ZDK,-2620996,Zidikai,Tel'shi,Kovno,17,6
VLN_TRK_ZZMR,-2621005,Ziezmariai,Troki,Vilna,4,7
LVL_ARN_KRSS,-2623022,Kuressaare,Arensburg,Livonia,21,8
STP_IMB_NRV,-2623958,Narva,Iamburg,St. Petersburg,37,8
EST_VSN_PD,-2624293,Paide,Veisenshtein,Estland,49,3
LVL_PRN_PRN,-2624430,Parnu,Pernov,Livonia,21,6
EST_VZN_RKVR,-2624869,Rakvere,Vezenberg,Estland,49,2
EST_RVL_TLLN,-2625660,Tallinn,Revel',Estland,49,1
LVL_IRV_TRT,-2625737,Tartu,Iur'ev,Livonia,21,7
EST_RVL_TL,-2625948,Tuula,Revel',Estland,49,1
LVL_VLK_VLG,-2626209,Valga,Valk,Livonia,21,2
LVL_FLL_VLJN,-2626515,Viljandi,Fellin,Livonia,21,9
LVL_VRR_VR,-2626645,Voru,Verro,Livonia,21,4
SMB_ALT_ALTY,-2875499,Alatyr',Alatyr',Simbirsk,39,2
ARK_ARK_ARKH,-2879191,Arkhangel'sk,Arkhangelsk,Arkhangelsk,,
KBN_LBN_ARMV,-2879357,Armavir,Labin,Kuban,,
AST_AST_ASTR,-2880021,Astrakhan,Astrakhan,Astrakhan,,
