id,name,altname,lang,period
-79384,Alsómiholjácz,donja miholjac,,
-79384,Alsómiholjácz,alsómiholjác,,
-79384,Alsómiholjácz,miholjacz,,
-845934,Alsónyírjes,slovenská kajňa,,
-845934,Alsónyírjes,tót-kajnya,"Hungary, bef 1899",
-845934,Alsónyírjes,alsónyírjes,Hungary,after 1899
-845934,Alsónyírjes,tóthkajnya,,
-1167665,Alsóporumbák,porumbacu de jos,,
-1167665,Alsóporumbák,alsóporumbák,,
-1167665,Alsóporumbák,porumbacul de jos,,
-843859,Alsórétfalu,lúky,,
-843859,Alsórétfalu,alsórétfalu,Hungary,since 1899
-843859,Alsórétfalu,lúki,Hungary,until 1899
-843859,Alsórétfalu,lúky pod makytou,,
-1168804,Alsóróna,rona de jos,,
-1168804,Alsóróna,alsóróna,,
-1168804,Alsóróna,inter rina,,
-1168804,Alsóróna,unterrohnen,,
-1168804,Alsóróna,alsó-róna,,
-1168804,Alsóróna,unter rina,,
-1168804,Alsóróna,unterine,,
-1168804,Alsóróna,unterrine,,
-1047827,Alsószelistye,nyzhnye selyshche,,
-1047827,Alsószelistye,alsószelistye,,
-1047827,Alsószelistye,nižné selišťe,,
-1047827,Alsószelistye,selishtsh,,
-1047827,Alsószelistye,nizhneye selishche,,
-1047827,Alsószelistye,nižni selišťe,,
-1047827,Alsószelistye,nizhne selisht’ye,,
-1047827,Alsószelistye,nyizsnye szeliscse,,
-1047827,Alsószelistye,nyschnje selyschtsche,,
-1054675,Alsószlatina,nyzhnye solotvyno,,
-1054675,Alsószlatina,alsószlatina,,
-1054675,Alsószlatina,nižná slatina,,
-1054675,Alsószlatina,solotfine,,
-1054675,Alsószlatina,nîjnie solotvîno,,
-1054675,Alsószlatina,nyżnie sołotwyno,,
-1054675,Alsószlatina,solotvina,,
-1054675,Alsószlatina,szolotvina,,
-1054675,Alsószlatina,nizsnyi szolotvino,,
-1054675,Alsószlatina,nizhniya solotvina,,
-1054675,Alsószlatina,nižní solotvina,,
-1171738,Alsószopor,supuru de jos,,
-1171738,Alsószopor,alsószopor,,
-1171738,Alsószopor,supurul-de-jos,,
-1172725,Alsótopa,topa de jos,,
-1172725,Alsótopa,alsótopa,,
-1047847,Alsóverecke,nyzhni vorota,,
-1047847,Alsóverecke,nižní verecki,,
-1047847,Alsóverecke,alsóverecke,,
-1047847,Alsóverecke,veretski,,
-1047847,Alsóverecke,nizhniye veretski,,
-1047847,Alsóverecke,wereczke also,,
-1047847,Alsóverecke,nižní verecky,,
-1047847,Alsóverecke,nizhni veretski,,
-1047847,Alsóverecke,nizhniye vorota,,
-1047847,Alsóverecke,verecky nizni,,
-1174803,Alsóvissó / Alsóvisó,vişeu de jos,,
-1174803,Alsóvissó / Alsóvisó,alsóvissó,,
-1174803,Alsóvissó / Alsóvisó,unterwischau,,
-1174803,Alsóvissó / Alsóvisó,unter-visheve,,
-1174803,Alsóvissó / Alsóvisó,inter wisho,,
-1174803,Alsóvissó / Alsóvisó,alsóvisó,,
-1174803,Alsóvissó / Alsóvisó,vizăul de jos,,
-1174803,Alsóvissó / Alsóvisó,vişeul de jos,,
-1174803,Alsóvissó / Alsóvisó,vişăul-de-jos,,
-848308,Alsózsolcza,alsózsolca,,
-848308,Alsózsolcza,alsózsolcza,,
-498582,Altdamm,altdamm,,
-498582,Altdamm,dąbie,,
-498582,Altdamm,stettin-altdamm,,
-498582,Altdamm,dombie,,
-498582,Altdamm,dąb stary,,
-1738531,Altdorf,altdorf,,
-1738531,Altdorf,altdorf (ettenheim),,
-1738676,Altena,altena,,
-1738789,Altenburg,altenburg,,
-1738801,Alten-Buseck,alten-buseck,,
-1738893,Altengronau,altengronau,,
-1739007,Altenkunstadt,altenkunstadt,,
-1739011,Altenlotheim,altenlotheim,,
-1739033,Altenmuhr,altenmuhr,,
-1739079,Altenschönbach,altenschönbach,,
-1739079,Altenschönbach,altenschoenbach,,
-1739099,Altenstadt,altenstadt,,
-1407286,Altkirch,altkirch,,
-1739513,Altlandsberg,altlandsberg,,
-1739513,Altlandsberg,alt landsberg,,
-1739621,Altona,altona,,
-1739805,Altwiedermus,altwiedermus,,
-1034270,Altynovka,altynivka,,
-1034270,Altynovka,altynovka,,
-1034270,Altynovka,altinovka,,
-1739852,Alzenau,alzenau in unterfranken,,
-1739852,Alzenau,alzenau,,
-1739852,Alzenau,alzenau i. ufr.,,
-1739857,Alzey,alzey,,
-1739857,Alzey,alza,,
-1739857,Alzey,alziya,,
-1739857,Alzey,alz,,
-1739911,Amberg,amberg,,
-2140452,Amersfoort,amersfoort,,
-1740163,Amöneburg,amöneburg,,
-1740163,Amöneburg,amoeneburg,,
-3178291,Amrus,amrus,,
-3178291,Amrus,suk al-juma',,
-3178291,Amrus,sūq al jum'ah,,
-3178291,Amrus,suq al-jama,,
-3178291,Amrus,al-sahal,,
-547654,Amschelberg,kosova hora,,
-547654,Amschelberg,amschelberg,,
-2140475,Amstelveen,amstelveen,,
-2140475,Amstelveen,nieuwer-amstel,,
-2140479,Amsterdam,amsterdam,,
-1047807,Amur,nizhnedneprovsk,,
-1047807,Amur,amur,Russia,until 1918
-1047807,Amur,amur-nizhne dneprovsk,,
-1047807,Amur,nizhnednepsovsk,,
-1047807,Amur,nizhnedneprovsk volitsovka,,
-1047807,Amur,nishnedneprovsk,,
-1047807,Amur,nijne-dneprovsk,,
-1034285,Ananyev,anan'yiv,,
-1034285,Ananyev,anan'yev,,
-1034285,Ananyev,ananiev,,
-1034285,Ananyev,ananiew,,
-1034285,Ananyev,ananev,,
-1034285,Ananyev,ananiv,,
-1034285,Ananyev,ananjew,,
-848329,Anarcs,anarcs,,
-110393,Ancona,ancona,,
-110393,Ancona,angon,,
-2575223,Andijan,andijon,,
-2575223,Andijan,andijan,,
-2575223,Andijan,andizhan,,
-1034396,Andrushevka,andrushivka,,
-1034396,Andrushevka,andrushevka,,
-1034396,Andrushevka,andrishifke,,
-1034396,Andrushevka,andruszówka,,
-1034396,Andrushevka,andrushovka,,
-1034396,Andrushevka,andruschowka,,
-492267,Andrychów,andrychów,,
-492267,Andrychów,yandrichov,,
-492267,Andrychów,andrichau,,
-492267,Andrychów,andrichov,,
-492267,Andrychów,andrikhov,,
-492267,Andrychów,yendrikhov,,
-492267,Andrychów,yendrikhev,,
-492271,Andrzejewo,andrzejewo,,
-492271,Andrzejewo,andzheyevo,,
-492280,Andrzejów,andrzejów,,
-492280,Andrzejów,andzheyov,,
-1740436,Angenrod,angenrod,,
-534627,Angerburg,węgorzewo,,
-534627,Angerburg,angerburg,,
-534627,Angerburg,ungura,,
-534627,Angerburg,węgobork,Poland,1945-46
-534627,Angerburg,vengoževo,,
-534627,Angerburg,vengoževas,,
-534627,Angerburg,unguris,,
-534627,Angerburg,angerburgas,,
-1740475,Angermünde,angermünde,,
-1151125,Aninasteyerlak / Stájerlakanina,anina,,
-1151125,Aninasteyerlak / Stájerlakanina,stájerlakanina,,
-1151125,Aninasteyerlak / Stájerlakanina,staierdorfanina,,
-1151125,Aninasteyerlak / Stájerlakanina,aninasteyerlak,,
-735338,Ankara,ankara,,
-735338,Ankara,ancyra,,
-735338,Ankara,engüri,,
-735338,Ankara,ankyra,,
-735338,Ankara,ankura,,
-735338,Ankara,anguriyah,,
-735338,Ankara,angora,,
-1740551,Anklam,anklam,,
-458855,Annaba,annaba,,
-458855,Annaba,bône,,
-1740565,Annaberg,annaberg-buchholz,,
-1740565,Annaberg,annaberg,,
-1740565,Annaberg,buchholz,,
-492321,Annopol,annopol,,
-492321,Annopol,anapol,,
-492321,Annopol,annopol (lublin),,
-492321,Annopol,annopol-rachów,,
-492321,Annopol,rachów-annopol,,
-1034425,Annopol',annopol',,
-1034425,Annopol',anapol,,
-1034425,Annopol',hannopil',,
-1034425,Annopol',annopol,,
-1034425,Annopol',anapoli,,
-1740631,Anröchte,anröchte,,
-1740631,Anröchte,anroechte,,
-1740635,Ansbach,ansbach,,
-1740635,Ansbach,anspach,,
-1740635,Ansbach,onolzbach,,
-1740635,Ansbach,onolshbach,,
-735347,Antalya,antalya,,
-735347,Antalya,attália,,
-735347,Antalya,satalia,,
-735347,Antalya,olbia,,
-735347,Antalya,antayla,,
-735347,Antalya,antaliyah,,
-735347,Antalya,adalia,,
-2612688,Antokol,antakalnis,,
-2612688,Antokol,antokol,,
-2612688,Antokol,antokol',,
-2612694,Antolepty,antalieptė,,
-2612694,Antolepty,antalept,,
-2612694,Antolepty,antolepty,"Russia, Poland",
-2612694,Antolepty,antalepte,,
-2612694,Antolepty,antolieptė,,
-2612694,Antolepty,antaliyepte,,
-2612694,Antolepty,antalieptės,,
-1034469,Antoniny,antoniny,"Ukraine, Russia",
-1034469,Antoniny,antonin,,
-1034509,Antonovka,antonivka,,
-1034509,Antonovka,antonovka,"Russia, Yiddish",
