code,id,name,lon,lat
KV_BRD_KZTY,-1041229,Koziatyn,49.71666667,28.83333333
TRD_KRC_KRCH,-1041277,Kerch,45.35,36.48333333
MRM_MRM_KRTS,-1041285,Keretsky,48.48333333,23.21666667
KHR_KHR_KHRK,-1041320,Kharkiv,50,36.25
KHR_KHR_KHRS,-1041356,Kherson,46.63333333,32.6
GLC_RW_KHLV,-1041398,Khlivchany,50.31666667,23.96666667
PDL_LTN_KHML,-1041424,Khmil'nyk,49.55,27.96666667
PDL_PRS_KHML,-1041435,Khmelnytskyy,49.41666667,27
VLH_OVR_KHDK,-1041445,Khodaki,50.98333333,28.8
KV_SKV_KHDR,-1041450,Khodorkiv,50.1,29.3
GLC_BBR_KHDR,-1041452,Khodoriv,49.4,24.31666667
KRP_UNG_KHLM,-1041463,Kholmets,48.51666667,22.38333333
PLT_KHR_KHRL,-1041516,Khorol,49.78333333,33.28333333
GLC_HST_KHRS,-1041534,Khorostkiv,49.23333333,25.91666667
PDL_GSN_KHSH,-1041550,Khashchuvatye,48.3,29.95
GLC_TLM_KHTY,-1041559,Khotymyr,48.75,25.1
BSS_KHT_KHTY,-1041561,Khotyn,48.48333333,26.5
KV_UMN_KHRY,-1041605,Khrystynivka,48.83333333,29.96666667
KRP_UNG_KHDL,-1041632,Khudlovo,48.58333333,22.48333333
KV_CHR_KHDY,-1041634,Khudyaky,49.3,32.28333333
MRM_MRM_KHST,-1041640,Khust,48.18333333,23.3
GLC_STR_KHYR,-1041891,Khyriv,49.53333333,22.85
KRP_UNG_KYBL,-1041895,Kyblyary,48.6,22.55
VLH_OST_KLKY,-1041921,Kilikiyev,50.53333333,27.05
BSS_IZM_KLY,-1041922,Kiliya,45.45,29.26666667
KHR_ELZ_KRVH,-1041993,Kirovohrad,48.5,32.26666667
VLH_VLD_KSLN,-1042031,Kiselin,50.86666667,24.81666667
PDL_NV_KYTH,-1042064,Kytaihorod,48.65,26.8
KV_LPV_KYTH,-1042066,Kytaihorod,48.96666667,29.5
BKV_KTZ_KTSM,-1042070,Kitsman,48.45,25.76666667
VLH_LTS_KVRT,-1042075,Kivertsy,50.83333333,25.46666667
VLH_RVN_KLSV,-1042140,Klesiv,51.33333333,26.93333333
VLH_RVN_KLVN,-1042145,Klevan,50.75,25.98333333
BSS_KHT_KLSH,-1042180,Klishkivtsi,48.43333333,26.26666667
KRP_BRG_KLYC,-1042207,Klyucharki,48.41666667,22.65
GLC_RHT_KNHY,-1042227,Kniahynychi,49.38333333,24.46666667
