code,id,name,enc_name,enc_page
TRD_FDS_FDSY,-1038635,Feodosiya,THEODOSIA,1305
KHR_TRS_ZKHR,-1038725,Zakharivka,FRUNZOVKA,406
PLT_GDC_HDCH,-1038742,Hadiach,,
GLC_STN_HLYC,-1038762,Halych,HALICZ,484
MRM_MRM_HNYC,-1038802,Hanychi,GANICE,416
KRP_BRG_HT,-1038845,Hat,HAT,500
PDL_GSN_HYSY,-1038895,Haysyn,GAYSIN,418
PDL_GSN_HYVR,-1038898,Hayvoron,GAIVORON,414
PLT_ZLT_HLMZ,-1038915,Helmiaziv,,
TRD_MLT_HNCH,-1038918,Henichesk,GENICHESK,425
MLD_DRH_HRTS,-1038957,Hertsa,HERTA,511
BKV_STR_HLYN,-1039018,Hlynytsia,HLINITA,516
VLH_RVN_HLYN,-1039024,Hlynky,GLINKI,434
GLC_ZLK_HLYN,-1039037,Hlynsk,GLINSKO,434
GLC_PRZ_HLYN,-1039042,Hlyniany,GLINIANY,434
GLC_ZYD_HNZD,-1039103,Hnizdychiv,HNIZDYCZOW,516
PDL_VNN_HNVN,-1039133,Hnivan,GNIVAN,436
BSS_BND_LMBR,-1039154,Lambrivka,,
TRD_ALS_HLPR,-1039164,Hola Prystan',GOLAYA PRISTAN,438
VLH_KVL_HLBY,-1039183,Holoby,HOLOBY,523
GLC_ZLC_HLHR,-1039192,Holohory,GOLOGORY,439
PDL_BLT_HLSK,-1039208,Holoskove,GOLOSKOV,439
PDL_BLT_HLVN,-1039211,Holovanivsk,GOLOVANEVSK,439
KHR_ANN_HLT,-1039243,Holta,,
KRP_BRG_HLBY,-1039251,Holubyne,HOLUBINNE,523
MRM_MRM_HLYT,-1039277,Holyatyn,HOLATIN,522
GLC_DLN_HLYN,-1039281,Holyn,HOLYN,523
MRM_MRM_HRNC,-1039362,Horinchovo,HORINCOVO,526
GLC_CZR_HRSH,-1039368,Horishnya Vyhnanka,,
KV_RDM_HRNS,-1039397,Hornostaipil,GORNOSTIPOL,445
GLC_HRD_HRDN,-1039416,Horodenka,HORODENKA,528
VLH_LTS_HRDT,-1039421,Horodets,HORODZIEC,245
KV_CHR_HRDY,-1039430,Horodyshche,GORODYSHCHE,446
PDL_OLG_HRDK,-1039462,Horodkivka,MIASTKOVKA,816
GLC_HST_HRDN,-1039470,Horodnystya,,
VLH_NVG_HRDN,-1039472,Horodnytsya,HORODNITSA,529
CHR_GRD_HRDN,-1039476,Horodnya,HORODNIA,529
GLC_GRD_HRDK,-1039483,Horodok,GRODEK JAGIELLONSKI,454
VLH_VLD_HRKH,-1039500,Horokhiv,HOROCHOW,527
VLH_RVN_HRYN,-1039533,Horynhrad,HORYNGRAD-KRUPA,530
PDL_IMP_HRYS,-1039537,Horyshkivka,,
VLH_OST_HSHC,-1039539,Hoshcha,HOSZCZA,530
KV_KV_HSTM,-1039545,Hostomel,GOSTOMYL,447
GLC_BHR_HRBV,-1039563,Hrabovets,GRABOWIEC (I),449
PLT_KRM_HRDY,-1039586,Hradyzk,GRADIZHSK,450
VLH_LTS_HRDY,-1039591,Hradysk,,
PDL_GSN_HRNV,-1039604,Hraniv,GRANOV,450
KV_VSL_HRBN,-1039617,Hrebinky,GREBENKI,451
GLC_SKL_HRYM,-1039714,Hrymayliv,GRZYMALOW,466
VLH_ZSL_HRTS,-1039744,Hritsiv,GRITSEV,454
MRM_MRM_HRSH,-1039803,Hrushovo,HRUSOVO,533
KRP_BRG_HKLY,-1039883,Huklyvyy,HUKLIVY,534
VLH_LTS_HLVK,-1039887,Hulivka,HULEWICZE,535
EKT_ALK_HLYY,-1039899,Hulyaypole,GULAY POLE,469
GLC_MSC_HSKV,-1039939,Husakiv,HUSSAKOW,536
GLC_HST_HSYT,-1039957,Husyatyn,HUSIATYŃ,181
PDL_PRS_HVRD,-1040024,Hvardis'ke,FELSHTIN,380
GLC_KLM_HVZD,-1040028,Hvizdets,GWODZDIEC,471
CHR_GLK_HLKH,-1040039,Hlukhiv,GLUKHOV,435
EKT_BKH_HRLV,-1040044,Horlivka,GORLOVKA,444
PDL_KMN_HRDK,-1040045,Horodok,GORODOK (II),446
CHR_BRZ_ICHN,-1040053,Ichnia,ICHNIA,542
EKT_NVM_IHRN,-1040070,Ihren',,
KV_LPV_ILLN,-1040102,Illintsi,ILINTSY,545
KRP_BRG_ILNY,-1040116,Ilnytsya,ILNICE,546
KRP_BRG_IMST,-1040188,Imstychovo,IMSTICOVO,547
KHR_KHR_INHL,-1040197,Inhulets,INGULETS,548
PDL_BLT_YSYP,-1040217,Yosypivka,YUZEFPOL,1477
KRP_UNG_IRLY,-1040231,Irlyava,,
KRP_BRG_IRSH,-1040239,Irshava,IRSAVA,550
PDL_GSN_IVNH,-1040289,Ivanhorod,,
KV_UMN_IVNK,-1040299,Ivan'ky,,
KV_RDM_IVNK,-1040309,Ivankov,IVANKOV,552
GLC_STN_IVNF,-1040327,Ivano Frankivsk,STANISLAWOW (I),1233
VLH_ZHT_IVNP,-1040333,Ivanopil',YANUSHPOL,1474
KRP_BRG_YNSH,-1040385,Yanoshi,,
VLH_ZHT_IVNY,-1040476,Ivnytsia,IVNITSA,552
MRM_MRM_IZ,-1040482,Iza,,
BSS_IZM_IZMY,-1040491,Izmayil,ISMAIL,551
PDL_MGL_IZRL,-1040496,Izrailovka,IZRAILOVKA (II),555
VLH_ZSL_IZYS,-1040503,Izyaslav,IZYASLAV,555
KHR_IZM_IZYM,-1040507,Izyum,IZIUM,555
BKV_STR_KBSH,-1040516,Kabeshti,CABESTI,231
KV_RDM_KGNV,-1040546,Kaganovichi Vtoryye,,
KV_KV_KHRL,-1040548,Kaharlyk,KAGAROLIK,582
TRD_ALS_KKHV,-1040555,Kakhovka,KAHOVKA,582
KHR_KHR_KLNN,-1040609,Kalininskoye,KALININDORF (II),584
PDL_VNN_KLYN,-1040644,Kalynivka,,
MRM_MRM_KLYN,-1040672,Kalyny,KALINY,585
KHR_ELZ_KLNY,-1040689,Kalnybolota,KALNYBOLOTA,588
KRP_BRG_KLNK,-1040690,Kalnik,,
GLC_KLS_KLSH,-1040700,Kalush,KALUSZ,588
PDL_NV_KLYS,-1040706,Kalyus,KALUS,588
KV_CHR_KMYN,-1040747,Kamyanka,KAMENKA (II),591
GLC_KMN_KMYN,-1040772,Kamyanka Buzka,KAMIONKA STRUMILOWA,593
VLH_KVL_KMNK,-1040774,Kamen Kashirskiy,KAMIEŃ KOSZYRSKI,155
GLC_SKL_KMYN,-1040778,Kam'yanky,KAMIONKA (I),592
VLH_NVG_KMYN,-1040807,Kamyanyi Brid,KAMENNI-BROD,591
GLC_LWW_KMNP,-1040820,Kamianopil,,
KRP_BRG_KMYN,-1040834,Kamyanske,,
PDL_KMN_KMYN,-1040849,Kamyanets Podilskyy,KAMENETS-PODOLSKI,591
KV_KNV_KNV,-1040899,Kaniv,KANIEW,594
VLH_KVL_KSHV,-1041127,Kashivka,KASZOWKA,602
KV_ZVN_KTRY,-1041165,Katerynopil,KATERYNYPOL,602
VLH_KRM_KTRY,-1041175,Katerynivka,KATERBURG,602
KV_BRD_KZTY,-1041229,Koziatyn,KAZATIN,610
TRD_KRC_KRCH,-1041277,Kerch,KERCH,615
MRM_MRM_KRTS,-1041285,Keretsky,KERECKY,615
KHR_KHR_KHRK,-1041320,Kharkiv,,
KHR_KHR_KHRS,-1041356,Kherson,KHERSON,618
GLC_RW_KHLV,-1041398,Khlivchany,CHLEWCZANY,253
PDL_LTN_KHML,-1041424,Khmil'nyk,KHMELNIK,619
PDL_PRS_KHML,-1041435,Khmelnytskyy,PROSKUROV,1028
VLH_OVR_KHDK,-1041445,Khodaki,KHODAKI,619
KV_SKV_KHDR,-1041450,Khodorkiv,KHODORKOV,619
GLC_BBR_KHDR,-1041452,Khodoriv,CHODOROW,254
KRP_UNG_KHLM,-1041463,Kholmets,,
PLT_KHR_KHRL,-1041516,Khorol,KHOROL,620
GLC_HST_KHRS,-1041534,Khorostkiv,CHOROSTKOW,255
PDL_GSN_KHSH,-1041550,Khashchuvatye,KHASHCHEVATOYE,618
GLC_TLM_KHTY,-1041559,Khotymyr,CHOCIMIERZ,254
BSS_KHT_KHTY,-1041561,Khotyn,HOTIN,530
KV_UMN_KHRY,-1041605,Khrystynivka,CHRISTIANOVKA,257
KRP_UNG_KHDL,-1041632,Khudlovo,CHUDLOVO,257
KV_CHR_KHDY,-1041634,Khudyaky,,
MRM_MRM_KHST,-1041640,Khust,CHUST,258
GLC_STR_KHYR,-1041891,Khyriv,CHYROW,258
KRP_UNG_KYBL,-1041895,Kyblyary,,
VLH_OST_KLKY,-1041921,Kilikiyev,KILIKIEV,627
BSS_IZM_KLY,-1041922,Kiliya,,
KHR_ELZ_KRVH,-1041993,Kirovohrad,KIROVOGRAD,628
VLH_VLD_KSLN,-1042031,Kiselin,KISIELIN,630
PDL_NV_KYTH,-1042064,Kytaihorod,KITAIGOROD (II),631
KV_LPV_KYTH,-1042066,Kytaihorod,KITAIGOROD (I),631
BKV_KTZ_KTSM,-1042070,Kitsman,COSMENI,274
VLH_LTS_KVRT,-1042075,Kivertsy,KIWERCE,632
VLH_RVN_KLSV,-1042140,Klesiv,KLESOW,634
VLH_RVN_KLVN,-1042145,Klevan,KLEWAN,635
BSS_KHT_KLSH,-1042180,Klishkivtsi,,
KRP_BRG_KLYC,-1042207,Klyucharki,,
GLC_RHT_KNHY,-1042227,Kniahynychi,KNIHYNICZE,637
GLC_SNT_KNYZ,-1042240,Knyazhe,KNIAZE,637
PLT_KBL_KBLY,-1042262,Kobelyaki,,
MRM_MRM_KBYL,-1042274,Kobyletska Polyana,KOBYLECKA POLANA,639
VLH_ZHT_KDNY,-1042311,Kodnya,KODNIA,640
PDL_BLT_KDYM,-1042313,Kodyma,KODYMA,641
VLH_LTS_KLKY,-1042370,Kolky,,
MRM_MRM_KLCH,-1042373,Kolochava,KOLOCAVA,647
GLC_KLM_KLMY,-1042414,Kolomyya,KOLOMYJA,648
KHR_ELZ_KLNY2,-1042435,Koloniya Gromokley,GROMOKLEYA,460
VLH_LTS_KLNY,-1042463,Koloniya Olizarka,,
PDL_IMP_KMRH,-1042536,Komarhorod,KOMARGOROD,650
GLC_RDK_KMRN,-1042541,Komarno,KOMARNO,478
KV_BRD_MKHN,-1042625,Makhnivka,KOMSOMOLSKOYE,653
KV_LPV_KNL,-1042649,Konela,,
PDL_BLT_KNTS,-1042652,Kinets'pil',KONETSPOL,653
CHR_KNT_KNTP,-1042673,Konotop,KONOTOP,653
VLH_LTS_KPCH,-1042753,Kopachivka,KOPACZEWKA,655
PDL_MGL_KPHR,-1042774,Kopaihorod,KOPAYGOROD,656
GLC_HST_KPYC,-1042792,Kopychyntsi,KOPYCZYNCE,656
VLH_NVG_KRTS,-1042840,Korets,KORZEC,661
KV_SKV_KRNY,-1042859,Kornyn,KORNIN,659
VLH_ZSL_KRNY,-1042861,Kornytsya,KORNITSA,659
MRM_UGC_KRLV,-1042888,Korolevo,KRALOVO,670
CHR_KRL_KRP,-1042893,Korop,KOROP,659
GLC_TLM_KRPT,-1042894,Koropets,KOROPIEC,659
VLH_OVR_KRST,-1042907,Korosten,KOROSTEN,659
KV_RDM_KRST,-1042923,Korostyshiv,KOROSTISHEV,660
KV_KNV_KRSN,-1042950,Korsun' Shevchenkivs'kyy,KORSUN,660
VLH_KVL_KRTL,-1042954,Kortelesy,KORTELISY,660
BKV_WZN_KRYT,-1042966,Korytne,,
CHR_SSN_KRKV,-1042969,Koriukivka,KORIUKOVKA,658
MRM_MRM_KSHL,-1043006,Koshel'ovo,KOSELOVO,662
KRP_BRG_KSN,-1043030,Koson,KOSINO,663
PDL_KMN_KSHR,-1043042,Kosohirka,,
GLC_KSW_KSV,-1043044,Kosiv,KOSÓW,481
MRM_MRM_KSVS,-1043052,Kosivska Polyana,KOSOVSKAYA POLYANA,663
BKV_STR_KSTN,-1043064,Kostintsy,COSTESTI,274
VLH_RVN_KSTP,-1043071,Kostopil,KOSTOPOL,664
KHR_ANN_KTVS,-1043129,Kotovsk,BIRZULA,666
